Metropolitan Area,Reports per 100K Population
"Hilo, HI Micropolitan Statistical Area",434
"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",375
"Urban Honolulu, HI Metropolitan Statistical Area",384
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).  This chart excludes reports provided by the Hawaii Office of Consumer Protection.",
