Metropolitan Area,Reports per 100K Population
"Logan, UT-ID Metropolitan Statistical Area",294
"Ogden-Clearfield, UT Metropolitan Statistical Area",368
"Provo-Orem, UT Metropolitan Statistical Area",281
"Salt Lake City, UT Metropolitan Statistical Area",419
"St. George, UT Metropolitan Statistical Area",350
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).",
