Metropolitan Area,Reports per 100K Population
"Aguadilla-Isabela, PR Metropolitan Statistical Area",57
"Arecibo, PR Metropolitan Statistical Area",55
"Ponce, PR Metropolitan Statistical Area",61
"San Germán, PR Metropolitan Statistical Area",56
"San Juan-Carolina-Caguas, PR Metropolitan Statistical Area",76
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).",
