Metropolitan Area,Reports per 100K Population
"Cedar Rapids, IA Metropolitan Statistical Area",334
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",329
"Des Moines-West Des Moines, IA Metropolitan Statistical Area",359
"Iowa City, IA Metropolitan Statistical Area",292
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",445
"Sioux City, IA-NE-SD Metropolitan Statistical Area",284
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",266
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).  This chart excludes reports provided by the Iowa Attorney General.",
